Accession..,Family,Genus,Species,variety.hybrid,scientific_name,Native.country,Native.Region,Origin,Date.brought.in,number,form,plant.source,latest.update,Synonym
B2009.206,Zygophyllaceae,Zygophyllum,maculatum,NA,Zygophyllum maculatum ,South Africa,South African,South Africa,14-Jan-09,25,seed(s),Silverhill Seeds,2/24/2023,NA
B2016.087,Zygophyllaceae,Zygophyllum,fabago,NA,Zygophyllum fabago ,Multiple Countries,Multiple Regions,Mediterranean region and central Asia,9-Jun-16,0,plant(s),John Bleck,2/24/2023,NA
B2006.034,Orchidaceae,Zygopetalum,NA,Artur Elle 'Tanza Night' FCC/AOS,Zygopetalum  Artur Elle 'Tanza Night' FCC/AOS,NA,NA,hybrid origin,26-Feb-06,0,NA,Norman's Orchids,2/24/2023,NA
B2009.011,Orchidaceae,Zygopetalum,NA,Everspring 'Noland Van Daalen',Zygopetalum  Everspring 'Noland Van Daalen',NA,NA,horticultural (hybrid) origin,6-Jan-09,1,plant(s),Unknown,2/24/2023,NA
B90.253,Orchidaceae,Zygopetalum,reginae,NA,Zygopetalum reginae ,Brazil,South American,Brazil,NA,0,NA,Jane Sakauye,2/24/2023,NA
B96.023,Orchidaceae,Zygopetalum,triste,NA,Zygopetalum triste ,Brazil,South American,Brazil,16-Feb-96,0,NA,Howard and Joan Gunn,2/24/2023,NA
B96.277,Orchidaceae,Zygopetalum,triste,NA,Zygopetalum triste ,Brazil,South American,Brazil,26-Aug-96,0,NA,Earl Ross (LA State & Co. Arboretum),2/24/2023,NA
B99.106,Orchidaceae,Zygopetalum,mackaii,NA,Zygopetalum mackaii ,Brazil,South American,Brazil,21-May-99,0,NA,Howard and Joan Gunn,2/24/2023,NA
B95.053,Cactaceae,Zygocactus,NA,Symphony,Zygocactus  Symphony,NA,NA,NA,6-Mar-95,0,NA,Larry Mitich,2/24/2023,NA
B95.054,Cactaceae,Zygocactus,NA,'Thanksgiving',Zygocactus  'Thanksgiving',NA,NA,NA,6-Mar-95,0,NA,NA,2/24/2023,NA
B95.055,Cactaceae,Zygocactus,sp,Bahia,Zygocactus sp Bahia,NA,NA,NA,6-Mar-95,0,NA,NA,2/24/2023,NA
BAB.366,Cactaceae,Zygocactus,NA,"""""white christmas""""","Zygocactus  """"white christmas""""",NA,NA,NA,NA,0,NA,Larry Mitich,2/24/2023,NA
B2008.019,Orchidaceae,Zootrophion,endresianum,NA,Zootrophion endresianum ,Multiple Countries,American,Nicaragua to Ecuador,7-Jan-08,1,plant(s),Tropical Orchid Farm,2/24/2023,NA
B2008.166,Orchidaceae,Zootrophion,hirtzii,NA,Zootrophion hirtzii ,Ecuador,South American,"Ecuador, at elevations of 1300 to 2100 m",13-Oct-08,0,plant(s),J & L Orchids,2/24/2023,NA
B2008.241,Orchidaceae,Zootrophion,sp,NA,Zootrophion sp ,NA,NA,genus within tropical South America,13-Oct-08,0,plant(s),Unknown,2/24/2023,NA
BAB.532,Orchidaceae,Zootrophion,atropurpureum,NA,Zootrophion atropurpureum ,Multiple Countries,American,"Jamaica, Panama, Colombia, Ecuador, Peru",NA,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
B2000.052,Zingiberaceae,Zingiber,zerumbet,NA,Zingiber zerumbet ,India,Indian,India,26-Jul-00,0,NA,Anthony Lord,2/24/2023,NA
B97.063,Zingiberaceae,Zingiber,zerumbet,NA,Zingiber zerumbet ,India,Indian,India,15-Apr-97,0,NA,Anthony Lord,2/24/2023,NA
